 176.9942, 0.132893, 235.0105, 0.1731785 
 175.0135, 0.131543, 237.013, 0.1746195 
 173.0223, 0.1300875, 239.0182, 0.176038 
 170.9794, 0.1286535, 241.0362, 0.177407 
 169.0123, 0.127472, 242.985, 0.1788545 
 166.9762, 0.125871, 245.0382, 0.180338 
 165.0104, 0.124516, 247.017, 0.181732 
 162.9878, 0.123116, 249.0173, 0.183123 
 160.9933, 0.1217185, 251.0189, 0.18454 
 159.0046, 0.1203645, 253.0806, 0.1858555 
 157.007, 0.1189975, 255.0677, 0.187416 
 154.9723, 0.1177015, 257.0127, 0.188923 
 152.9688, 0.1164505, 259.0175, 0.190305 
 150.988, 0.1149845, 261.0254, 0.191563 
 148.9707, 0.113539, 263.1105, 0.193017 
 146.9915, 0.112286, 265.0138, 0.1945415 
 144.9697, 0.1110265, 267.0253, 0.1961 
 142.9948, 0.109694, 268.9074, 0.197291 
 140.9622, 0.1084495, 271.0221, 0.1986525 
 138.9975, 0.107042, 273.0241, 0.200132 
 136.9447, 0.105864, 275.0686, 0.20158 
 134.9683, 0.1046455, 276.9858, 0.2030375 
 132.9545, 0.1034465, 279.0121, 0.204467 
 131.001, 0.102328, 281.071, 0.2058265 
 128.964, 0.101215, 283.0287, 0.207207 
 126.9892, 0.1002175, 285.0214, 0.208664 
 124.9664, 0.099254, 287.0262, 0.2100435 
 122.9505, 0.0989535, 289.0088, 0.211458 
 120.9432, 0.099009, 291.0437, 0.21292 
 118.9847, 0.100229, 293.0196, 0.214311 
 117.0025, 0.10384, 295.0306, 0.215711 
 114.9989, 0.1127445, 297.0507, 0.217164 
 112.9653, 0.134575, 299.0246, 0.218425 
 110.9883, 0.1896085, 301.0308, 0.219864 
 108.9686, 0.3403285, 303.0673, 0.2212905 
 107.0414, 0.853255, 304.9516, 0.222683 
 105.0412, 1.69397, 306.9491, 0.224263 
 103.0088, 3.0875, 309.0194, 0.2253835 
 101.0308, 5.99865, 311.0396, 0.226785 
 99.0237, 13.1407, 313.0385, 0.228021 
 97.013, 29.8985, 314.9435, 0.2297205 
 95.0012, 53.793, 316.9886, 0.2314315 
 93.0137, 101.8395, 319.0634, 0.232276 
 91.019, 138.028, 320.9726, 0.2342645 
 89.0195, 167.8025, 323.0064, 0.2351125 
 87.014, 194.1225, 325.0424, 0.2368085 
 85.0053, 219.6435, 327.0286, 0.2384165 
 82.997, 245.964, 329.0483, 0.239215 
 81.0106, 273.233, 330.9178, 0.241204 
 79.0041, 302.9765, 332.9996, 0.2423295 
 77.0194, 335.5065, 335.0018, 0.243607 
 75.0429, 370.661, 336.9964, 0.245029 
 73.0137, 409.3905, 339.141, 0.2463485 
 71.0237, 451.875, 341.0321, 0.2477135 
 69.0287, 499.6155, 343.0366, 0.2492725 
 67.0143, 552.14, 345.0343, 0.250406 
 65.0129, 611.46, 347.102, 0.251875 
 63.0253, 678.39, 348.9848, 0.2535235 
 61.0007, 753.815, 351.1093, 0.2546605 
 59.0091, 839.92, 353.0418, 0.256353 
 57.0055, 938.88, 354.9951, 0.2576265 
 55.0004, 1051.27, 357.0289, 0.2590485 
 53.0073, 1181.2, 359.0318, 0.260174 
 51.0143, 1332.355, 361.0366, 0.261878 
 49.0038, 1510.395, 363.0379, 0.2631515 
 47.0024, 1724.11, 365.0374, 0.264566 
 44.9944, 1957.325, 367.0373, 0.2662695 
 42.9955, 2262.13, 369.0614, 0.2675395 
 41.0028, 2609.84, 370.989, 0.269239 
 39.001, 3030.54, 373.0613, 0.270806 
 37.0026, 3560.925, 375.0133, 0.2716995 
 35.0114, 4224.97, 377.0226, 0.2737715 
 33.0012, 5068.65, 379.029, 0.274764 
 30.9998, 6190.05, 381.0212, 0.276319 
 28.9955, 7693.35, 383.0157, 0.278304 
 26.9962, 9765.5, 385.0096, 0.2795855 
 24.9988, 12650.8, 387.0625, 0.280992 
 23.0056, 16999.7, 389.0665, 0.2829775 
 21.0265, 23722.7, 391.0369, 0.284259 
 19.0092, 35042.8, 393.0293, 0.285673 
 17.011, 55020.5, 395.0066, 0.287791 
 15.0029, 91950, 397.0168, 0.2890725 
 13.0021, 150409, 399.0119, 0.290917 
